,DienTich,DiaChi,City,District,MucGia,SoPhongNgu,SoToilet,NoiThat,Lat,Long,HuongNha,HuongBanCong,PhapLy,Ward
0,50.0,"Dự án D-Aqua, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",79,776,2250000000.0,1.0,1.0,3,10.739294052124,106.644393920898,,,,27421
1,50.0,"The Gold View, 346, Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",79,773,3700000000.0,1.0,1.0,2,10.7562484741211,106.691848754883,5,6,4,27298
2,73.0,"The Gloria by Silk Path, số 8, Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",1,6,,2.0,2.0,2,21.0158519744873,105.809234619141,4,3,1,199
3,33.24,"Dự án Ben Hill Thuận An , Đường Thuận Giao 24, Phường Thuận Giao, Thuận An, Bình Dương",74,725,1000000000.0,1.0,,,21.026758193969727,105.84119415283203,,,,25972
4,110.0,"Dự án Seasons Avenue, Phường Mỗ Lao, Hà Đông, Hà Nội",1,268,5500000000.0,3.0,2.0,2,20.98702621459961,105.78683471679688,6,5,1,9541
5,73.0,"Dự án Lumiere Riverside, Đường Võ Nguyên Giáp, Phường An Phú, Quận 2, Hồ Chí Minh",79,769,8300000000.000001,2.0,2.0,3,10.8042144775391,106.749519348145,,,,27091
6,105.5,"Dự án MHD Trung Văn, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",1,19,5500000000.0,3.0,2.0,0,20.991954803466797,105.78510284423828,7,6,4,637
7,400.0,"Grandeur Palace, 138, Phố Giảng Võ, Phường Kim Mã, Ba Đình, Hà Nội",1,1,,,,,21.0287971496582,105.825675964355,,,,28
8,82.0,"Hei Tower Điện Lực, số 1, Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội",1,9,4400000000.0,2.0,2.0,2,21.003246,105.80506,,,1,343
9,56.0,"Đường Nguyễn Chính, Phường Tân Mai, Hoàng Mai, Hà Nội",1,8,2280000000.0,2.0,,0,20.9813343,105.8476841,,,1,319
10,146.0,"Dự án Lancaster Luminaire, 1152 Láng, Phường Láng Thượng, Đống Đa, Hà Nội",1,6,,3.0,3.0,,21.023582458496094,105.80522918701172,,6,,187
11,53.0,"The Botanica, 104, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",79,766,3100000000.0,1.0,1.0,2,10.808710098266602,106.66935729980469,,,2,26965
