,DienTich,DiaChi,City,District,MucGia,MatTien,DuongVao,PhapLy,Lat,Long,Ward
0,180.0,"Đường 768, Xã Tân Bình, Vĩnh Cửu, Đồng Nai",75,735,,5.0,7.0,1,11.001454,106.818515,26194
1,29235.0,"Hẻm 50, Đường 1/5, Phường B'Lao, Bảo Lộc, Lâm Đồng",68,673,125000000000.0,55.0,4.0,1,11.5381851944725,107.800136095245,24826
2,250.0,"Phường Cô Giang, Quận 1, Hồ Chí Minh",79,760,45000000000.0,11.0,,,10.7624802860873,106.693774723512,26755
3,63.0,"Đường Bạch Thái Bưởi, Phường Đằng Giang, Ngô Quyền, Hải Phòng",31,304,7875000000.0,4.5,,1,20.8422893706456,106.704846350031,11359
4,3000.0,"Xã Cẩm Lĩnh, Ba Vì, Hà Nội",1,271,4500000000.0,,,,,,9673
5,2000.0,"Xã Ngọc Thanh, Phúc Yên, Vĩnh Phúc",26,244,38000000000.0,,,1,,,8749
6,420.0,"Đường Lê Hoàng Phái, Phường 17, Gò Vấp, Hồ Chí Minh",79,764,46000000000.0,,,,10.840956,106.6753887,26875
7,956.0,"Đường Liên Phường, Phường Phú Hữu, Thủ Đức, Hồ Chí Minh",79,769,100000000000.0,35.0,,1,10.8646129121408,106.744064314635,26866
8,205.0,"Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",48,494,8000000000.0,12.0,,1,,,20290
9,3000.0,"Đường 415, Xã Minh Quang, Ba Vì, Hà Nội",1,271,18000000000.0,23.5,15.0,1,21.0674391417629,105.325854514853,9700
10,79.2,"Đường Cổ Nhuế, Thôn Nhuế, Xã Kim Chung, Đông Anh, Hà Nội",1,17,4800000000.0,5.45,3.5,1,21.133051,105.7791327,493
11,4500.0,"Xã Cẩm Lĩnh, Huyện Ba Vì, Hà Nội",1,271,2700000000.0,,,,21.1519011444517,105.352013562298,9673
12,158.0,"Số 14 Lê Bôi, Phường Mân Thái, Sơn Trà, Đà Nẵng",48,493,13746000000.0,8.8,7.0,,16.0822515,108.2471044,20269
13,1200.0,"Xã Suối Hoa, Tân Lạc, Hòa Bình",17,155,600000000.0,25.0,6.0,1,20.7358054806737,105.16607745389,5134
14,80.0,"Xã Bình Yên, Thạch Thất, Hà Nội",1,276,1280000000.0,5.0,7.0,1,21.0299536626959,105.538789229557,9982
15,101.4,"Hẻm 102, Đường Lê Tấn Bê, Phường An Lạc, Bình Tân, Hồ Chí Minh",79,777,4800000000.0,5.0,,1,10.7190774,106.605581,27460
16,100.0,"Đường 420, Xã Bình Yên, Thạch Thất, Hà Nội",1,276,3650000000.0,4.0,8.0,,21.0407028,105.5481172,9982
17,129.5,"Hẻm 54, Phố Lý Thường Kiệt, Phường 1, Bảo Lộc, Lâm Đồng",68,673,2550000000.0,5.0,6.0,1,11.5600258172391,107.810535722229,24823
18,313.0,"Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",1,9,158000000000.0,47.2,14.0,1,21.0040864,105.8031129,343
19,9600.0,"Xã Tân Nghĩa, Di Linh, Lâm Đồng",68,679,9000000000.0,,,1,11.6351959274615,108.095507863668,25012
20,515.0,"Đường Mỹ Ả, Xã Đông Mỹ, Thanh Trì, Hà Nội",1,20,18025000000.0,,,1,20.9175046,105.8738936,685
21,400.0,"Đường Nguyễn Duy Trinh, Phường Phú Hữu, Quận 9, Hồ Chí Minh",79,763,37000000000.0,10.0,,1,10.7969462,106.807901,26866
22,279.0,"Đường Phi Trường, ấp Bình Ý, Xã Tân Bình, Vĩnh Cửu, Đồng Nai",75,735,1750000000.0,13.5,4.0,1,10.9955804,106.8149499,26194
23,19797.8,"Đường Võ Nguyên Giáp, Phường Tân Phú, Cái Răng, Cần Thơ",92,919,356360000000.0,315.0,47.0,1,9.9855434,105.8171935,31204
24,3800.0,"Xã Tân Lập, Đồng Phú, Bình Phước",70,695,350000000.0,,18.0,1,11.3791525399641,106.843856241736,25381
25,4850.0,"Đường Bình Quới, Phường 28, Bình Thạnh, Hồ Chí Minh",79,765,42000000000.0,72.0,,,10.8248874,106.7340462,26962
26,30000.0,"Đường ODA, Xã Phước Thuận, Xuyên Mộc, Bà Rịa Vũng Tàu",77,751,195000000000.0,,,1,10.4790005,107.3967105,26623
