DienTich,City,District,MatTien,PhapLy,DuongVao,HuongNha,SoTang,SoPhongNgu,SoToilet,NoiThat,Ward,USD
100.0,79.0,769.0,5.0,1.0,30.0,8.0,4.0,5.0,6.0,1.0,27091.0,1400000.0
39.0,1.0,3.0,4.6,1.0,2.0,2.0,5.0,3.0,4.0,2.0,112.0,276000.0
91.3,74.0,724.0,4.0,1.0,5.0,5.0,2.0,3.0,3.0,1.0,25957.0,150000.0
117.9,92.0,916.0,6.84,1.0,20.0,6.0,1.0,2.0,1.0,2.0,31150.0,256000.0
600.0,74.0,724.0,17.0,1.0,8.0,1.0,2.0,8.0,8.0,2.0,25957.0,1000000.0
58.0,1.0,7.0,4.0,1.0,3.0,1.0,5.0,3.0,4.0,1.0,298.0,271600.0
70.0,1.0,268.0,5.3,1.0,7.0,6.0,5.0,4.0,4.0,2.0,9550.0,472000.0
92.5,48.0,495.0,5.0,1.0,,6.0,3.0,3.0,4.0,1.0,20260.0,298000.0
85.0,1.0,268.0,4.5,1.0,5.0,5.0,4.0,4.0,3.0,2.0,9542.0,564000.0
110.0,1.0,268.0,5.0,1.0,8.0,4.0,4.0,3.0,4.0,2.0,9541.0,672000.0
118.0,79.0,765.0,4.7,1.0,8.0,4.0,3.0,3.0,3.0,2.0,26950.0,679599.9999999999
43.7,1.0,6.0,14.0,1.0,100.0,1.0,6.0,10.0,11.0,2.0,220.0,352000.0
37.0,1.0,274.0,4.0,1.0,3.0,8.0,4.0,3.0,3.0,2.0,9862.0,110000.0
36.0,1.0,274.0,5.0,1.0,4.0,3.0,5.0,5.0,4.0,3.0,9892.0,108000.0
33.0,1.0,268.0,,1.0,3.0,3.0,5.0,4.0,4.0,2.0,9886.0,172000.0
53.0,79.0,767.0,,1.0,4.0,3.0,2.0,3.0,2.0,2.0,27013.0,216000.0
45.0,1.0,4.0,4.0,1.0,3.0,3.0,6.0,3.0,4.0,2.0,133.0,356000.0
33.0,1.0,274.0,4.0,1.0,4.0,6.0,5.0,4.0,4.0,3.0,9889.0,118000.0
75.0,56.0,568.0,4.0,1.0,13.0,5.0,2.0,3.0,3.0,2.0,22357.0,194000.0
31.0,1.0,274.0,4.0,1.0,3.0,6.0,5.0,3.0,4.0,2.0,9844.0,118000.0
67.5,56.0,568.0,5.0,1.0,7.0,3.0,3.0,4.0,3.0,1.0,22327.0,148000.0
35.0,1.0,5.0,,1.0,,5.0,4.0,4.0,3.0,2.0,157.0,260000.0
85.5,79.0,778.0,4.0,1.0,16.0,7.0,1.0,2.0,1.0,0.0,27472.0,420000.0
100.0,56.0,568.0,5.0,1.0,16.0,3.0,4.0,5.0,6.0,1.0,22327.0,280000.0
106.0,1.0,9.0,5.5,1.0,4.5,1.0,3.0,4.0,4.0,1.0,352.0,836000.0
113.9,56.0,568.0,5.7,1.0,16.0,2.0,2.0,2.0,2.0,1.0,22327.0,501160.0
33.0,1.0,274.0,4.0,1.0,4.0,6.0,5.0,4.0,4.0,2.0,9853.0,126000.0
33.0,1.0,21.0,4.0,1.0,3.0,6.0,5.0,4.0,4.0,2.0,616.0,210000.0
68.0,79.0,767.0,,1.0,8.0,4.0,3.0,4.0,4.0,3.0,27013.0,260000.0
37.0,1.0,19.0,5.0,1.0,,1.0,4.0,4.0,4.0,2.0,631.0,220000.0
1630.0,79.0,762.0,50.0,1.0,20.0,4.0,1.0,5.0,6.0,2.0,26824.0,5600000.0
64.0,79.0,777.0,4.0,1.0,4.0,3.0,4.0,4.0,5.0,2.0,27439.0,236000.0
60.0,1.0,5.0,,1.0,,1.0,7.0,12.0,12.0,2.0,169.0,580000.0
89.0,79.0,765.0,6.16,1.0,4.0,2.0,2.0,4.0,3.0,2.0,26953.0,600000.0
55.0,1.0,268.0,5.0,1.0,16.0,7.0,7.0,4.0,6.0,2.0,9544.0,599600.0
36.0,1.0,9.0,4.3,1.0,3.0,1.0,5.0,3.0,4.0,2.0,364.0,236000.0
53.2,79.0,772.0,,0.0,12.0,5.0,3.0,4.0,3.0,2.0,27208.0,476000.0
156.0,27.0,260.0,10.0,1.0,4.0,6.0,4.0,30.0,30.0,3.0,9340.0,180000.0
100.0,1.0,1.0,7.0,1.0,,7.0,6.0,6.0,5.0,2.0,8.0,880000.0
156.2,79.0,768.0,7.2,1.0,10.0,3.0,1.0,6.0,3.0,2.0,27052.0,672000.0
56.0,1.0,3.0,,1.0,,1.0,6.0,8.0,8.0,2.0,112.0,500000.0
75.0,1.0,5.0,6.0,1.0,12.0,3.0,7.0,8.0,7.0,1.0,175.0,1260000.0
50.0,1.0,6.0,4.0,1.0,,4.0,7.0,3.0,3.0,2.0,199.0,660000.0
46.5,1.0,17.0,5.5,1.0,2.5,6.0,4.0,3.0,3.0,2.0,508.0,148000.0
60.0,1.0,1.0,4.0,1.0,,4.0,4.0,3.0,3.0,2.0,22.0,420000.0
50.0,74.0,724.0,5.0,1.0,5.0,4.0,1.0,2.0,2.0,2.0,25960.0,92000.0
95.0,48.0,494.0,5.0,1.0,7.5,5.0,2.0,2.0,2.0,2.0,20285.0,228000.0
112.2,74.0,724.0,5.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,25951.0,103600.0
100.0,79.0,764.0,5.0,1.0,,2.0,4.0,5.0,4.0,2.0,26887.0,672000.0
55.0,1.0,21.0,4.0,1.0,,6.0,4.0,6.0,5.0,2.0,616.0,280000.0
91.3,74.0,724.0,4.0,1.0,5.0,8.0,2.0,3.0,2.0,2.0,25957.0,150000.0
100.0,79.0,764.0,,1.0,,6.0,5.0,6.0,6.0,3.0,26884.0,712000.0
63.0,74.0,724.0,5.5,1.0,7.0,5.0,2.0,3.0,3.0,2.0,25957.0,160000.0
42.0,79.0,767.0,,1.0,4.5,3.0,3.0,3.0,4.0,3.0,27025.0,184000.0
220.0,79.0,764.0,,1.0,,5.0,4.0,7.0,7.0,2.0,26884.0,1400000.0
42.0,1.0,5.0,,1.0,,7.0,6.0,4.0,3.0,1.0,163.0,512000.0
60.0,1.0,5.0,8.4,1.0,5.0,2.0,5.0,4.0,6.0,1.0,160.0,720000.0
66.0,1.0,19.0,,1.0,,5.0,5.0,6.0,5.0,3.0,625.0,334000.0
80.0,74.0,724.0,7.16,1.0,13.0,3.0,3.0,4.0,4.0,1.0,25945.0,190400.0
52.0,1.0,19.0,,1.0,,4.0,5.0,5.0,4.0,2.0,631.0,360000.0
45.0,1.0,3.0,,1.0,,7.0,5.0,4.0,4.0,2.0,109.0,248000.0
52.0,79.0,778.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,27478.0,215200.0
39.0,1.0,7.0,3.2,1.0,,6.0,3.0,2.0,2.0,2.0,286.0,212000.0
98.0,75.0,731.0,5.1,1.0,,4.0,2.0,3.0,2.0,3.0,25996.0,158000.0
90.0,75.0,731.0,,1.0,8.0,2.0,2.0,3.0,2.0,3.0,25996.0,156000.0
64.0,79.0,778.0,3.5,1.0,3.5,5.0,2.0,3.0,2.0,1.0,27472.0,152000.0
50.0,1.0,9.0,5.7,1.0,,5.0,4.0,4.0,2.0,2.0,349.0,272000.0
94.0,79.0,762.0,4.0,1.0,6.0,5.0,3.0,3.0,3.0,2.0,26827.0,316000.0
46.0,1.0,268.0,3.0,1.0,,8.0,4.0,4.0,3.0,2.0,9541.0,268000.0
55.0,1.0,6.0,,1.0,,6.0,7.0,4.0,6.0,2.0,187.0,675999.9999999999
36.0,1.0,8.0,,1.0,,4.0,4.0,4.0,3.0,2.0,328.0,174000.0
39.0,1.0,8.0,5.4,1.0,4.0,7.0,5.0,3.0,4.0,3.0,340.0,180000.0
25.0,1.0,6.0,,1.0,,2.0,5.0,3.0,4.0,2.0,232.0,216000.0
50.0,1.0,268.0,,1.0,,4.0,5.0,4.0,4.0,3.0,9565.0,240000.0
138.0,1.0,1.0,,1.0,,4.0,5.0,6.0,3.0,0.0,34.0,1938000.0
138.0,1.0,6.0,,1.0,,2.0,5.0,6.0,3.0,0.0,199.0,1938000.0
86.0,79.0,776.0,6.0,1.0,4.0,7.0,4.0,5.0,3.0,2.0,27430.0,239600.0
138.0,1.0,1.0,,1.0,,4.0,5.0,6.0,3.0,0.0,25.0,1738800.0
43.0,1.0,5.0,4.5,1.0,3.3,4.0,5.0,4.0,4.0,2.0,163.0,218000.0
120.0,56.0,568.0,8.0,4.0,13.0,5.0,3.0,4.0,4.0,3.0,22357.0,288000.0
100.0,80.0,794.0,5.0,1.0,,5.0,3.0,3.0,3.0,2.0,27700.0,140000.0
72.0,79.0,774.0,4.0,1.0,12.0,4.0,3.0,4.0,4.0,3.0,27325.0,960000.0
115.0,79.0,762.0,5.0,1.0,14.0,5.0,4.0,4.0,5.0,1.0,26809.0,672000.0
40.0,31.0,304.0,4.0,1.0,21.0,5.0,5.0,5.0,4.0,3.0,11350.0,199200.0
52.0,1.0,9.0,5.0,1.0,,5.0,4.0,4.0,3.0,2.0,364.0,320000.0
66.0,79.0,768.0,,0.0,,4.0,2.0,4.0,4.0,1.0,27055.0,332000.00000000006
90.0,48.0,492.0,,1.0,,5.0,4.0,14.0,14.0,2.0,20258.0,388000.0
85.0,1.0,18.0,5.0,1.0,16.0,4.0,5.0,12.0,12.0,2.0,550.0,300000.0
288.0,79.0,760.0,8.0,1.0,20.0,6.0,2.0,4.0,5.0,3.0,26734.0,2880000.0
76.0,79.0,760.0,4.5,1.0,30.0,5.0,5.0,4.0,4.0,2.0,26743.0,5600000.0
20.0,79.0,776.0,2.5,1.0,,4.0,2.0,2.0,2.0,2.0,27427.0,50000.0
46.0,1.0,8.0,4.0,1.0,3.0,4.0,5.0,3.0,4.0,2.0,316.0,202000.0
100.0,79.0,764.0,5.0,1.0,12.0,1.0,5.0,5.0,5.0,0.0,26884.0,700000.0
50.0,1.0,8.0,4.0,1.0,3.5,2.0,5.0,4.0,3.0,2.0,307.0,246000.0
72.2,56.0,568.0,,1.0,,5.0,3.0,3.0,3.0,2.0,22366.0,432000.0
48.0,1.0,8.0,4.0,1.0,4.0,6.0,5.0,4.0,4.0,2.0,316.0,235200.0
46.0,1.0,8.0,4.1,1.0,4.0,5.0,5.0,3.0,4.0,2.0,316.0,204000.0
43.0,1.0,8.0,4.0,1.0,5.0,4.0,5.0,4.0,4.0,2.0,307.0,198000.0
46.0,1.0,8.0,4.0,1.0,4.0,3.0,5.0,3.0,3.0,2.0,307.0,206400.0
168.0,1.0,4.0,,1.0,,5.0,6.0,3.0,3.0,2.0,139.0,3000000.0
48.0,1.0,8.0,,1.0,,3.0,5.0,4.0,4.0,2.0,316.0,210400.0
50.0,1.0,6.0,4.5,1.0,50.0,7.0,4.0,4.0,4.0,2.0,190.0,748000.0
50.0,1.0,8.0,4.0,1.0,3.0,5.0,4.0,4.0,4.0,2.0,316.0,234000.0
48.0,1.0,8.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,331.0,230000.0
84.0,79.0,768.0,6.0,1.0,8.0,4.0,3.0,6.0,6.0,1.0,27085.0,1000000.0
100.0,79.0,762.0,,1.0,,5.0,3.0,2.0,2.0,2.0,26803.0,208000.0
43.0,1.0,8.0,4.0,1.0,3.0,7.0,5.0,3.0,3.0,2.0,307.0,194000.0
45.0,1.0,8.0,4.5,1.0,4.0,4.0,5.0,4.0,3.0,2.0,316.0,210000.0
56.3,79.0,768.0,3.6,1.0,,6.0,4.0,4.0,4.0,1.0,27058.0,480000.0
46.0,1.0,8.0,4.0,1.0,4.0,5.0,5.0,4.0,4.0,1.0,337.0,210000.0
566.0,79.0,775.0,14.0,1.0,60.0,6.0,1.0,5.0,5.0,3.0,27349.0,6160000.0
